id,station,measured_station,forecast_station,observation_station,comments
1,aeroparque,AEROPARQUE AERO,AEROPARQUE,AEROPARQUE AERO,
2,azul_aero,AZUL AERO,AZUL_AERO,AZUL AERO,
3,bahia_blanca_aero,BAHIA BLANCA AERO,BAHIA_BLANCA_AERO,BAHIA BLANCA AERO,
4,bariloche_aero,BARILOCHE AERO,BARILOCHE_AERO,BARILOCHE AERO,
5,base_belgrano_ii,BASE BELGRANO II,,BASE BELGRANO II,
6,base_carlini,BASE CARLINI (EX JUBANY),,BASE CARLINI (EX JUBANY),
7,base_experaza,BASE ESPERANZA,,BASE ESPERANZA,
8,base_marambio,BASE MARAMBIO,,BASE MARAMBIO,
9,base_orcadas,BASE ORCADAS,,BASE ORCADAS,
10,base_san_martin,BASE SAN MARTIN,,BASE SAN MARTIN,
11,benito_juarez_aero,BENITO JUAREZ AERO,BENITO_JUAREZ_AERO,BENITO JUAREZ AERO,
12,bernardo_de_irigoyen_aero,BERNARDO DE IRIGOYEN AERO,BERNARDO_DE_IRIGOYEN_AERO,BERNARDO DE IRIGOYEN AERO,
13,bolivar_aero,BOLIVAR AERO,BOLIVAR_AERO,BOLIVAR AERO,
14,buenos_aires,BUENOS AIRES,BUENOS_AIRES,,
15,buenos_aires,BUENOS AIRES OBSERVATORIO,,BUENOS AIRES OBSERVATORIO,? serà el mismo?
16,campo_de_mayo_aero,CAMPO DE MAYO AERO,,CAMPO DE MAYO AERO,
17,catamarca_aero,CATAMARCA AERO,CATAMARCA_AERO,CATAMARCA AERO,
18,ceres_aero,CERES AERO,CERES_AERO,CERES AERO,
19,chamical_aero,CHAMICAL AERO,CHAMICAL_AERO,CHAMICAL AERO,
20,chapelco_aero,CHAPELCO AERO,CHAPELCO_AERO,CHAPELCO AERO,
21,chepes,CHEPES,CHEPES,CHEPES,
22,chilecito_aero,CHILECITO AERO,CHILECITO_AERO,CHILECITO AERO,
23,cipolletti,CIPOLLETTI,CIPOLLETTI,CIPOLLETTI,
24,comodoro_rivadavia_aero,COMODORO RIVADAVIA AERO,COMODORO_RIVADAVIA_AERO,COMODORO RIVADAVIA AERO,
25,concordia_aero,CONCORDIA AERO,CONCORDIA_AERO,CONCORDIA AERO,
26,cordoba_aero,CORDOBA AERO,CORDOBA_AERO,CORDOBA AERO,
27,cordoba_observatorio,CORDOBA OBSERVATORIO,CORDOBA_OBSERVATORIO,CORDOBA OBSERVATORIO,
28,coronel_suarez_aero,CORONEL SUAREZ AERO,CORONEL_SUAREZ_AERO,CORONEL PRINGLES AERO,
29,coronel_pringles_aero,CORONEL PRINGLES AERO,CORONEL_PRINGLES_AERO,CORONEL SUAREZ AERO,
30,corrientes_aero,CORRIENTES AERO,CORRIENTES_AERO,CORRIENTES AERO,
31,dolores_aero,DOLORES AERO,DOLORES_AERO,DOLORES AERO,
32,el_bolson_aero,EL BOLSON AERO,EL_BOLSON_AERO,EL BOLSON AERO,
33,el_calafate_aero,EL CALAFATE AERO,EL_CALAFATE_AERO,EL CALAFATE AERO,
34,el_palomar_aero,EL PALOMAR AERO,EL_PALOMAR_AERO,EL PALOMAR AERO,
35,el_trebol,EL TREBOL,EL_TREBOL,EL TREBOL,
36,escuela_de_aviacion_militar_aero,ESCUELA DE AVIACION MILITAR AERO,ESC.AVIACION_MILITAR_AERO,ESCUELA DE AVIACION MILITAR AERO,
37,escuela_de_aviacion_militar_aero,ESC.AVIACION MILITAR AERO,,,
38,esquel_aero,ESQUEL AERO,ESQUEL_AERO,ESQUEL AERO,
39,ezeiza_aero,EZEIZA AERO,EZEIZA_AERO,EZEIZA AERO,
40,formosa_aero,FORMOSA AERO,FORMOSA_AERO,FORMOSA AERO,
41,general_pico_aero,GENERAL PICO AERO,GENERAL_PICO_AERO,GENERAL PICO AERO,
42,gobernador_gregores_aero,GOBERNADOR GREGORES AERO,GOBERNADOR_GREGORES_AERO,GOBERNADOR GREGORES AERO,
43,gualeguaychu_aero,GUALEGUAYCHU AERO,GUALEGUAYCHU_AERO,GUALEGUAYCHU AERO,
44,iguazu_aero,IGUAZU AERO,IGUAZU_AERO,IGUAZU AERO,
45,ituzaingo,ITUZAINGO,ITUZAINGO,ITUZAINGO,
46,jachal,JACHAL,JACHAL,JACHAL,
47,jujuy_aero,JUJUY AERO,JUJUY_AERO,JUJUY AERO,
48,jujuy_u_n,JUJUY U N,JUJUY_U_N,JUJUY U N,
49,junin_aero,JUNIN AERO,JUNIN_AERO,JUNIN AERO,
50,la_plata_aero,LA PLATA AERO,LA_PLATA_AERO,LA PLATA AERO,
51,la_quiaca_obs,LA QUIACA OBSERVATORIO,LA_QUIACA_OBS,LA QUIACA OBSERVATORIO,
52,la_quiaca_obs,LA QUIACA OBS.,,,
53,la_rioja_aero,LA RIOJA AERO,LA_RIOJA_AERO,LA RIOJA AERO,
54,laboulaye_aero,LABOULAYE AERO,LABOULAYE_AERO,LABOULAYE AERO,
55,las_flores_aero,LAS FLORES AERO,LAS_FLORES_AERO,LAS FLORES,
56,las_flores_aero,LAS FLORES,,,? serà el mismo?
57,las_lomitas,LAS LOMITAS,LAS_LOMITAS,LAS LOMITAS,
58,malargue_aero,MALARGUE AERO,MALARGUE_AERO,MALARGUE AERO,
59,maquinchao,MAQUINCHAO,MAQUINCHAO,MAQUINCHAO,
60,mar_del_plata_aero,MAR DEL PLATA AERO,MAR_DEL_PLATA_AERO,MAR DEL PLATA AERO,
61,marcos_juarez_aero,MARCOS JUAREZ AERO,MARCOS_JUAREZ_AERO,MARCOS JUAREZ AERO,
62,mariano_moreno_aero,MARIANO MORENO AERO,MARIANO_MORENO_AERO,MARIANO MORENO AERO,
63,mendoza_aero,MENDOZA AERO,MENDOZA_AERO,MENDOZA AERO,
64,mendoza_observatorio,MENDOZA OBSERVATORIO,MENDOZA_OBSERVATORIO,MENDOZA OBSERVATORIO,
65,mercedes_aero_ctes,MERCEDES AERO (CTES),MERCEDES_AERO_(CTES),MERCEDES AERO (CTES),
66,merlo_aero,MERLO AERO,MERLO_AERO,MERLO AERO,
67,metan,METAN,METAN,METAN,
68,monte_caseros_aero,MONTE CASEROS AERO,MONTE_CASEROS_AERO,MONTE CASEROS AERO,
69,moron_aero,MORON AERO,MORON_AERO,MORON AERO,
70,neuquen_aero,NEUQUEN AERO,NEUQUEN_AERO,NEUQUEN AERO,
71,nueve_de_julio,NUEVE DE JULIO,NUEVE_DE_JULIO,NUEVE DE JULIO,
72,obera_aero,OBERA AERO,OBERA_AERO,OBERA,
73,obera_aero,OBERA,,,? serà el mismo?
74,olavarria_aero,OLAVARRIA AERO,OLAVARRIA_AERO,OLAVARRIA AERO,
75,oran_aero,ORAN AERO,ORAN_AERO,ORAN AERO,
76,parana_aero,PARANA AERO,PARANA_AERO,PARANA AERO,
77,paso_de_indios,PASO DE INDIOS,PASO_DE_INDIOS,PASO DE INDIOS,
78,paso_de_los_libres_aero,PASO DE LOS LIBRES AERO,PASO_DE_LOS_LIBRES_AERO,PASO DE LOS LIBRES AERO,
79,pehuajo_aero,PEHUAJO AERO,PEHUAJO_AERO,PEHUAJO AERO,
80,perito_moreno_aero,PERITO MORENO AERO,PERITO_MORENO_AERO,PERITO MORENO AERO,
81,pigue_aero,PIGUE AERO,PIGUE_AERO,PIGUE AERO,
82,pilar_obs,PILAR OBSERVATORIO,PILAR_OBS,PILAR OBSERVATORIO,
83,pilar_obs,PILAR OBS.,,,
84,posadas_aero,POSADAS AERO,POSADAS_AERO,POSADAS AERO,
85,presidencia_roque_saenz_peña_aero,PRESIDENCIA ROQUE SAENZ PEÑA AERO,PCIA._ROQUE_SAENZ_PEÑA_AERO,PRESIDENCIA ROQUE SAENZ PEÑA AERO,
86,presidencia_roque_saenz_peña_aero,PCIA. ROQUE SAENZ PEÑA AERO,,,
87,puerto_deseado_aero,PUERTO DESEADO AERO,PUERTO_DESEADO_AERO,PUERTO DESEADO AERO,
88,puerto_madryn_aero,PUERTO MADRYN AERO,PUERTO_MADRYN_AERO,PUERTO MADRYN AERO,
